qid,domain,method,arm_idx,correctness,faithfulness,evidence_recall_at_k,total_time_s,total_tokens,prompt_tokens,completion_tokens,k_final,nq,rerank_enabled,rewrite_enabled,x_bm25,y_dense,reward
in_010,in_domain,rl_thompson,39,2,1,0,9.733314599958248,1061,924,137,10,3,0,1,0.2,0.8,0.8912122700020876
in_065,in_domain,rl_thompson,23,2,1,0,2.4251072999322787,916,871,45,10,1,0,1,0.8,0.19999999999999996,1.256912635003386
in_062,in_domain,rl_thompson,15,2,1,0,22.853133999975398,2133,2092,41,20,1,1,0,0.2,0.8,0.10307730000123004
ood_001,out_of_domain,rl_thompson,45,2,1,,5.155082200071774,630,621,9,5,3,1,1,0.2,0.8,1.1209858899964111
ood_002,out_of_domain,rl_thompson,2,2,1,,1.219521899940446,646,625,21,5,1,0,0,0.8,0.19999999999999996,1.3877319050029775
in_002,in_domain,rl_thompson,15,2,1,1,5.348474099999294,2266,2247,19,20,1,1,0,0.2,0.8,1.4780442950000354
in_046,in_domain,rl_thompson,5,0,0,0,4.1704273000359535,1087,949,138,10,1,0,0,0.8,0.19999999999999996,-0.31069536500179773
in_006,in_domain,rl_thompson,15,0,0,0,5.448039400042035,2011,1963,48,20,1,1,0,0.2,0.8,-0.5264239700021018
ood_005,out_of_domain,rl_thompson,5,2,1,,1.2982068000128493,927,912,15,10,1,0,0,0.8,0.19999999999999996,1.3332356599993573
ood_003,out_of_domain,rl_thompson,45,2,1,,7.600554300006479,619,581,38,5,3,1,1,0.2,0.8,0.9987342849996759
