qid,domain,method,correctness,faithfulness,evidence_recall_at_k,total_time_s,total_tokens,prompt_tokens,completion_tokens,k_final,nq,rerank_enabled,rewrite_enabled,x_bm25,y_dense,reward
in_010,in_domain,baseline,2,1,0,15.752499499940313,951,864,87,10,3,1,1,0.5,0.5,0.5404730250029843
in_065,in_domain,baseline,2,1,0,6.561165199964307,1061,1016,45,10,3,1,1,0.5,0.5,0.9998197400017845
in_062,in_domain,baseline,2,1,0,7.427308900048956,1022,989,33,10,3,1,1,0.5,0.5,0.9565905549975522
ood_001,out_of_domain,baseline,2,1,,5.5046961000189185,1261,1249,12,10,3,1,1,0.5,0.5,1.052243194999054
ood_002,out_of_domain,baseline,2,1,,5.45654220005963,1319,1307,12,10,3,1,1,0.5,0.5,1.0545348899970184
in_002,in_domain,baseline,2,1,0,5.582247899961658,1127,1108,19,10,3,1,1,0.5,0.5,1.048633605001917
in_046,in_domain,baseline,2,1,0,9.71182119997684,1330,1131,199,10,3,1,1,0.5,0.5,0.8417489400011579
in_006,in_domain,baseline,1,1,1,23.37077059992589,1077,1032,45,10,3,1,1,0.5,0.5,0.15930747000370551
ood_005,out_of_domain,baseline,2,1,,6.156272800057195,1327,1311,16,10,3,1,1,0.5,0.5,1.0195323599971402
ood_003,out_of_domain,baseline,2,1,,8.063398899976164,1124,1068,56,10,3,1,1,0.5,0.5,0.9245820550011917
